Timestamp,Edad,Género,¿En qué lugar usás comúnmente la computadora?,¿Qué hacés cuando usás la computadora (podés elegir más de una opción)?,¿Dónde aprendiste a usar la computadora? (podés elegir más de una opción),¿Qué celular usás?,Si usás celular: ¿qué haces cuando usás el celular? (podés elegir más de una opción),¿Dónde se almacenan los videos que están en YouTube?,¿Quién tiene acceso a las fotos que tengo guardadas en mi celular?,Cuando le mando a una amiga una foto por WhatsApp...,"Si quiero hacer que mi amiga no pueda ver más la foto, ¿qué puedo hacer?",Sofi está en la calle sin Wi-Fi y le quiere mandar un mensaje de WhatsApp a Santi.  ¿Cuál de las cinco imágenes representa mejor la manera en la que el mensaje viaja?,"Muchas de las aplicaciones que conocemos se pueden usar gratuitamente, como por ejemplo Facebook, YouTube, Instagram o TikTok. ¿Por qué creés que permiten su uso sin tener que pagar 💵?",Escuela y grado
4/19/2021 16:44:40,10,Femenino,En mi casa,"No, uso computardora tengo pero no uso","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Yo y otras personas.,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 17:04:07,10,Masculino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet), Escribo historias y dibujo",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Juego juegos",No sé,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 17:05:22,10,Masculino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet), Escribo historias y dibujo",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Juego juegos",No sé,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular","No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 17:06:13,10,Femenino,En mi casa,Juego juegos,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",En mi celular,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 17:25:04,10,Masculino,En mi casa,Miro videos en YouTube,Aprendí solo,Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 18:52:04,9,Femenino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet), Miro Netflix","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Hablo por teléfono",No sé,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,No sé,"Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios., Al instalarte la aplicación les llega plata",Escuela Nº 83 Juan Arzeno - 5to grado
4/19/2021 20:07:03,9,Masculino,Casa de mi papá ,"Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",No uso celular,Miro videos en YouTube,En la nube,Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/19/2021 21:04:41,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",No uso celular,Nunca uso el celular,En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/20/2021 2:55:57,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/20/2021 15:55:25,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 5to grado
4/20/2021 21:00:26,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono, Juego juegos",En la nube,No sé,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/20/2021 22:52:51,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet), Dibujo",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Hablo por teléfono",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/20/2021 23:30:23,9,Femenino,En mi casa,"Juego juegos, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Juego juegos",En una computadora,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/20/2021 23:40:21,8,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",No uso celular,Nunca uso el celular,No sé,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda directamente.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/21/2021 1:08:13,8,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/21/2021 1:33:25,8,Masculino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Hablo por teléfono",En la nube,Yo y otras personas.,No sé,No sé,No sé,no lo se,Escuela Nº 83 Juan Arzeno - 4to grado
4/21/2021 3:33:20,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero vendiendo nuestros datos e información personal.,Escuela Nº 83 Juan Arzeno - 5to grado
4/21/2021 20:00:17,10,Femenino,En mi casa,"Juego juegos, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",No uso celular,"Juego juegos, Nunca uso el celular",En la nube,No sé,No sé,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/22/2021 2:46:46,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,Chateo (por ejemplo en WhatsApp o Telegram),En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",No sé,El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/22/2021 5:15:59,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Juego juegos",En una computadora,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/22/2021 20:03:22,10,Masculino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",Me prestan uno,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de una red de antenas y computadoras.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 5to grado
4/22/2021 21:23:56,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/23/2021 22:18:07,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/24/2021 1:38:00,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Juego juegos",En la nube,Yo y otras personas.,No sé,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/24/2021 16:37:37,10,Masculino,En mi casa,Juego juegos,Aprendí solo,El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Juego juegos",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque ya tienen suficiente dinero y no necesitan más.,Escuela Nº 83 Juan Arzeno - 5to grado
4/25/2021 5:12:01,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Miro videos en YouTube, Juego juegos",No sé,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/25/2021 17:39:20,10,Masculino,En mi casa,"Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 5to grado
4/25/2021 17:39:20,10,Femenino,En mi casa,"Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Me enseñaron en la escuela",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 5to grado
4/25/2021 20:09:06,9,Femenino,En mi casa,"Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",No sé,Solo yo.,No sé,No sé,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/25/2021 22:25:20,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/25/2021 22:52:41,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,No sé,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/25/2021 23:28:42,10,Masculino,En mi casa,Hago la tarea,Aprendí solo,No uso celular,Nunca uso el celular,No sé,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una red de antenas y computadoras.,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 0:22:38,9,Masculino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 4:00:11,10,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 4:00:14,10,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 6:00:35,10,Femenino,En mi casa,"Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",No sé,Solo yo.,No sé,No sé,No sé,Porque obtienen dinero vendiendo nuestros datos e información personal.,Escuela Nº 83 Juan Arzeno - 5to grado
4/26/2021 13:42:20,9,Femenino,En mi casa,Juego juegos,Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Juego juegos",En la nube,Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de un satélite.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 13:44:41,9,Femenino,En mi casa,"Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Juego juegos",En la nube,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de una antena.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 13:45:53,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Juego juegos",En mi celular,Yo y otras personas.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,El mensaje se manda a través de un satélite.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.",Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 14:02:24,9,Femenino,En mi casa,Juego juegos,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube",En muchas computadoras (tantas que podrían llenar una casa),Solo yo.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",No sé,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 14:40:47,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)",Aprendí solo,El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono",No sé,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en el chat.,No sé,Porque obtienen dinero a través de las publicidades que nos muestran.,Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 14:41:44,9,Masculino,En mi casa,"Juego juegos, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",El mío,"Chateo (por ejemplo en WhatsApp o Telegram), Miro videos en YouTube, Juego juegos",En la nube,Yo y otras personas.,Le mando una copia de mi foto.,"No puedo hacer nada, mi amiga ahora también tiene la foto y no tengo manera de sacársela.",El mensaje se manda a través de una antena.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 14:41:51,9,Femenino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea, Hago videollamadas (por ejemplo por WhatsApp, Zoom, Skype o Meet)","Me enseñaron en mi casa (mis padres, hermanos u otro familiar), Aprendí solo",Me prestan uno,"Chateo (por ejemplo en WhatsApp o Telegram), Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Hablo por teléfono, Juego juegos",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,El mensaje se manda a través de la nube.,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran.",Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 14:43:46,9,Masculino,En mi casa,Miro videos en YouTube,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Miro videos en YouTube, Juego juegos",En una computadora,Solo yo.,"La foto ahora existe en WhatsApp y mi amiga la puede ver cuando mira nuestro chat, pero no la tiene en su celular",Tengo que borrar la foto en la Galería de fotos de mi celular.,El mensaje se manda a través de una antena.,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado
4/26/2021 14:46:22,9,Masculino,En mi casa,"Juego juegos, Miro videos en YouTube, Hago la tarea","Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram), Miro videos en YouTube, Juego juegos",No sé,Yo y otras personas.,Le mando una copia de mi foto.,Tengo que borrar la foto en el chat.,No sé,Porque al ser gratuitas permiten que todos tengamos la misma posibilidad de acceder a ellas y utilizar sus servicios.,Escuela Nº 83 Juan Arzeno - 4to grado d
4/26/2021 14:50:36,9,Femenino,En mi casa,Juego juegos,"Me enseñaron en mi casa (mis padres, hermanos u otro familiar)",Me prestan uno,"Miro redes sociales (por ejemplo Facebook, TikTok o Instagram)",En muchísimas computadoras (tantas que podrían llenar una cancha de fútbol),Solo yo.,No sé,Tengo que borrar la foto en la Galería de fotos de mi celular.,No sé,"Porque obtienen dinero vendiendo nuestros datos e información personal., Porque obtienen dinero a través de las publicidades que nos muestran., Porque todo lo que está en Internet es gratuito.",Escuela Nº 83 Juan Arzeno - 4to grado
